titulos,base,recommend,analysi,predict,learn,effect,rat,trailer,genr,success,model,network,visual,review,content,citas,referencias,clase
movie recommendations using the deep learning approach,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,48,Article
moving caption authoring system for planetarium movies,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-,74,Article
predicting bollywood movies success using machine learning technique,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,13,Article
organizing patterns and evolution of indian movie industry,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-,18,Article
"violent frames: analyzing internet movie database reviewers text descriptions of media violence and gender differences from 39 years of us action, thriller, crime, and adventure movies",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,16,Proceedings Paper
a new method of measuring document similarity for movie recommendation,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-,21,Proceedings Paper
estimation of interpersonal relationships in movies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,18,Proceedings Paper
"linguicism in hollywood movies? representations of, and audience reactions to multilingualism in mainstream movie dialogues",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,55,Article
using srnartwatches as an interactive movie controller: a case study with the bandersnatch movie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,13,Proceedings Paper
bollywood movies and social media analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,9,Review
predicting hit movie concepts using news articles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,Proceedings Paper
using the least squares support vector regression to forecast movie sales with data from twitter and movie databases,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,45,47,Article
movie recommender systems made through tag interpolation,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,Proceedings Paper
corpus-based teaching in college movie english class in china,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,48,43,Article
the foreign language effect and movie recommendation: a comparative study of sentiment analysis of movie reviews in chinese and english,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-,14,Proceedings Paper
research on distance education media based on movie and television courseware,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,24,Proceedings Paper
movie plus : towards exploring social effects of emotional fingerprints for video clips and movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,34,Proceedings Paper
marketing and consumption of art products: the movie industry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29,Proceedings Paper
similarity measurement for animation movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,Proceedings Paper
popularity prediction of movies: from statistical modeling to machine learning techniques,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,15,Proceedings Paper
audio-visual synchronisation in quantum movies,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,21,Article
extraction of movie trailer biases based on editing features for trailer generation,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-,6,Proceedings Paper
research on the development of kanto cultural movie city,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,27,Article
movie summarization using bullet screen comments,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,44,Article
scientific movies as open learning tool in physics,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,6,Proceedings Paper
narrative theory and the dynamics of popular movies,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18,34,Article
coding implicit motives in movie clips: descriptive statistics for a movie pool and coding reliability estimates,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,28,Proceedings Paper
two-way affective modeling for hidden movie highlights extraction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,Proceedings Paper
analysis of revenue maximization under two movie-screening policies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,55,Article
computationally deconstructing movie narratives: an informatics approach,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,64,Article
research on movie rating prediction algorithms,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,Proceedings Paper
calling western union: the cultural mission of television message movies,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,64,Article
on the skopostheory in the use of translation strategies for movies,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,16,Article
what movie advisory boards say about the cinematic representations of love among older adults,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-,25,Proceedings Paper
scene-based movie summarization via role-community networks,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,56,Article
analysis of english teaching through english movie appreciation,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,Proceedings Paper
hallucinating goncalo m. tavares short movies,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36,Article
